,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
16,BUENOS AIRES,REYNA - MOCCIA    ( FRENTE DE LA RESISTENCIA),22663,0.0031
17,BUENOS AIRES,MONTES - HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),21824,0.003
18,BUENOS AIRES,QUARRACINO - REARTE (SOCIALISTA AUTENTICO),20825,0.0029
19,BUENOS AIRES,MUSSA - HERRERA (ALIANZA SOCIAL CRISTIANA),19810,0.0027
20,CATAMARCA,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION)",80456,0.5074000000000001
21,CATAMARCA,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - FRENTE UNIDOS POR CATAMARCA),70144,0.44229999999999997
22,CATAMARCA,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),5396,0.034
23,CATAMARCA,ALTAMIRA - RIEZNIK (OBRERO),828,0.0052
24,CATAMARCA,REYNA - MOCCIA (ALIANZA FRENTE DE LA RESISTENCIA - CORRIENTE    PATRIA LIBRE),706,0.0045000000000000005
25,CATAMARCA,MENDEZ - POMPEI (HUMANISTA),430,0.0027
26,CATAMARCA,MUSSA - HERRERA (ALIANZA SOCIAL CRISTIANA),329,0.0021
27,CATAMARCA,WALSH - DE LEONARDI (ALIANZA IZQUIERDA UNIDA),289,0.0018
28,CHACO,"DE LA RUA - ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA    EDUCACION - FRENTE DE TODOS)",249780,0.5466
29,CHACO,DUHALDE - ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL    CAMBIO - ALIANZA UNIDOS POR UN NUEVO CHACO - FRENTE DE INTEGRACION FEDERAL -    NACIONALISTA CONSTITUCIONAL),175541,0.38409999999999994
30,CHACO,CAVALLO - CARO FIGUEROA (ACCION POR LA REPUBLICA),22974,0.050300000000000004
31,CHACO,WALSH - DE LEONARDI (ALIANZA IZQUIERDA UNIDA - COMUNISTA),2330,0.0051
